Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
GLNS,Glutamine synthetase,atp_c + glu__L_c + nh4_c  -> adp_c + gln__L_c + h_c + pi_c ,YPR035W,0,999999,0,S_Glutamine_Metabolism
GLNTRS,Glutaminyl-tRNA synthetase,atp_c + gln__L_c + trnagln_c  -> amp_c + glntrna_c + ppi_c ,YOR168W,0,999999,0,S_tRNA_charging
GTHS,Glutathione synthetase,atp_c + glucys_c + gly_c  -> adp_c + gthrd_c + h_c + pi_c ,YOL049W,0,999999,0,S_Other_Amino_Acid_Metabolism
GTMLT,G glutamyltransferase,ala__L_c + gthrd_c  -> cgly_c + gluala_c ,YLR299W,0,999999,0,S_Other_Amino_Acid_Metabolism
GLNt2n,Glutamine nuclear transport via proton symport,gln__L_c + h_c  <=> gln__L_n + h_n ,,-999999,999999,0,S_Transport__Nuclear
FBP,Fructose-bisphosphatase,fdp_c + h2o_c  -> f6p_c + pi_c ,YLR377C,0,999999,0,S_Anaplerotic_reactions
GLNt2r,L glutamine reversible transport via proton symport,gln__L_e + h_e  <=> gln__L_c + h_c ,YKR039W or YCL025C or YDR508C or YPL265W,-999999,999999,0,S_Transport__Extracellular
GLNt6,L glutamine transport in via proton antiport  vacuolar ,gln__L_c + h_v  -> gln__L_v + h_c ,YJR001W,0,999999,0,S_Transport__Vacuolar
GTPCI,GTP cyclohydrolase I,gtp_c + h2o_c  -> ahdt_c + for_c + h_c ,YGR267C,0,999999,0,S_Folate_Metabolism
GTPCII,GTP cyclohydrolase II,gtp_c + 3 h2o_c  -> 25dhpp_c + for_c + 2 h_c + ppi_c ,YBL033C,0,999999,0,S_Riboflavin_Metabolism
GTPH1,GTP diphosphohydrolase,gtp_c + 2 h2o_c  -> gmp_c + 2 h_c + 2 pi_c ,YER005W,0,999999,0,S_Nucleotide_Salvage_Pathway
GLNt7,L glutamine transport out via proton symport  vacuolar,gln__L_v + h_v  -> gln__L_c + h_c ,YKL146W or YNL101W,0,999999,0,S_Transport__Vacuolar
GTPt2m,GTPGDP translocase  mitochondrial  electroneutral ,gdp_m + gtp_c + h_c  -> gdp_c + gtp_m + h_m ,YDL198C,0,999999,0,S_Transport__Mitochondrial
GLPT,Glycylpeptide N tetradecanoyltransferase,glp_c + tdcoa_c  -> coa_c + tglp_c ,YLR195C,0,999999,0,S_Other_Amino_Acid_Metabolism
FBP26,Fructose 2 6 bisphosphate 2 phosphatase,f26bp_c + h2o_c  -> f6p_c + pi_c ,YJL155C,0,999999,0,S_Fructose_and_Mannose_Metabolism
GLU5K,Glutamate 5-kinase,atp_c + glu__L_c  -> adp_c + glu5p_c ,YDR300C,0,999999,0,S_Arginine_and_Proline_Metabolism
GLUCYS,Gamma-glutamylcysteine synthetase,atp_c + cys__L_c + glu__L_c  -> adp_c + glucys_c + h_c + pi_c ,YJL101C,0,999999,0,S_Other_Amino_Acid_Metabolism
GLUDC,Glutamate Decarboxylase,glu__L_c + h_c  -> 4abut_c + co2_c ,YMR250W,0,999999,0,S_Glutamate_metabolism
GUAD,Guanine deaminase,gua_c + h2o_c + h_c  -> nh4_c + xan_c ,YDL238C,0,999999,0,S_Nucleotide_Salvage_Pathway
GUAPRT,Guanine phosphoribosyltransferase,gua_c + prpp_c  -> gmp_c + ppi_c ,YDR399W,0,999999,0,S_Nucleotide_Salvage_Pathway
GUAt2r,Guanine reversible transport via proton symport,gua_e + h_e  <=> gua_c + h_c ,YER056C or YER060W or YER060W_A or YGL186C,-999999,999999,0,S_Transport__Extracellular
GUAtm,Guanine mitochondrial transport via diffusion,gua_c  <=> gua_m ,,-999999,999999,0,S_Transport__Mitochondrial
H2O2tn,Hydrogen peroxide nuclear transport,h2o2_c  <=> h2o2_n ,,-999999,999999,0,S_Transport__Nuclear
H2Ot,H2O transport via diffusion,h2o_e  <=> h2o_c ,YPR192W or YLL052C,-999999,999999,0,S_Transport__Extracellular
GLUDxi,Glutamate dehydrogenase  NAD ,h2o_c + glu__L_c + nad_c  -> akg_c + h_c + nadh_c + nh4_c ,YDL215C,0,999999,0,S_Glutamate_metabolism
GLUDy,Glutamate dehydrogenase (NADP),h2o_c + glu__L_c + nadp_c  <=> akg_c + h_c + nadph_c + nh4_c ,YOR375C or YAL062W,-999999,0,0,S_Glutamate_metabolism
H2Oter,H2O endoplasmic reticulum transport,h2o_c  <=> h2o_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
FCLTm,Ferrochelatase  mitochondrial,fe2_m + ppp9_m  -> 2 h_m + pheme_m ,YOR176W,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
H2Otm,H2O transport  mitochondrial,h2o_c  <=> h2o_m ,,-999999,999999,0,S_Transport__Mitochondrial
H2Otn,H2O transport  nuclear,h2o_n  <=> h2o_c ,,-999999,999999,0,S_Transport__Nuclear
H2Otp,H2O transport  peroxisomal,h2o_c  <=> h2o_x ,,-999999,999999,0,S_Transport__Peroxisomal
HCITSm,Homocitrate synthase,akg_m + accoa_m + h2o_m  -> coa_m + h_m + hcit_m ,,0,999999,0,S_Pyruvate_Metabolism
H2Otv,H2O transport  vacuolar,h2o_c  <=> h2o_v ,,-999999,999999,0,S_Transport__Vacuolar
HCITSn,Homocitrate synthase,akg_n + accoa_n + h2o_n  -> coa_n + h_n + hcit_n ,YDL131W or YDL182W,0,999999,0,S_Pyruvate_Metabolism
FDH,Formate dehydrogenase,for_c + nad_c  -> co2_c + nadh_c ,YOR388C or YPL275W or YPL276W,0,999999,0,S_Methane_Metabolism
HACD10p,3 hydroxyacyl CoA dehydrogenase  3 oxohexacosyl CoA   peroxisomal,3hxccoa_x + nad_x  <=> 3ohxccoa_x + h_x + nadh_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
HACD4p,3 hydroxyacyl CoA dehydrogenase  3 oxodecanoyl CoA   peroxisomal,3odcoa_x + h_x + nadh_x  <=> 3hdcoa_x + nad_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
FDNG,Formate  dehydrogenase  cytosolicmitochondrial,for_c + h_c + q6_m  -> co2_c + q6h2_m ,,0,999999,0,S_Oxidative_Phosphorylation
HACD5p,3 hydroxyacyl CoA dehydrogenase  3 oxodecanoyl CoA   peroxisomal,3oddcoa_x + h_x + nadh_x  <=> 3hddcoa_x + nad_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
HACD6p,3 Hydroxyacyl CoA dehydrogenase  3 oxotetradecanoyl CoA   peroxisomal,3otdcoa_x + h_x + nadh_x  <=> 3htdcoa_x + nad_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
HCO3E,HCO3 equilibration reaction,co2_c + h2o_c  <=> h_c + hco3_c ,,-999999,999999,0,S_Other
HCO3Em,HCO3 equilibration reaction,co2_m + h2o_m  <=> h_m + hco3_m ,,-999999,999999,0,S_Other
HCO3En,HCO3 equilibrium reaction  nuclear,co2_n + h2o_n  <=> h_n + hco3_n ,,-999999,999999,0,S_Other
HACD7p,3 hydroxyacyl CoA dehydrogenase  3 oxohexadecanoyl CoA   peroxisomal,3ohdcoa_x + h_x + nadh_x  <=> 3hhdcoa_x + nad_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
HACD8p,3 hydroxyacyl CoA dehydrogenase  3 oxooctadecanoyl CoA   peroxisomal,3ohodcoa_x + h_x + nadh_x  <=> 3hodcoa_x + nad_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
HCO3tn,Bicarbonate nuclear transport via diffusion,hco3_c  <=> hco3_n ,,-999999,999999,0,S_Transport__Nuclear
HACNHm,Homoacontinate hydratase  mitochondrial,b124tc_m + h2o_m  <=> hicit_m ,YDR234W,-999999,999999,0,S_Threonine_and_Lysine_Metabolism
FE2t,Iron  II  transport,fe2_e  -> fe2_c ,YMR319C,0,999999,0,S_Transport__Extracellular
HBZOPT6m,Hydroxybenzoate octaprenyltransferase  mitochondrial,4hbz_m + hexdp_m  -> 3ophb_5_m + ppi_m ,YNR041C,0,999999,0,S_Quinone_Biosynthesis
FE2utm,Iron  II  uptake  mitochondrial ,fe2_c  -> fe2_m ,,0,999999,0,S_Transport__Mitochondrial
HCYSMT,Homocysteine S-methyltransferase,amet_c + hcys__L_c  -> ahcys_c + h_c + met__L_c ,YPL273W or YLL062C,0,999999,0,S_Alanine_and_Aspartate_Metabolism
HCYSt2p,Homocysteine peroxisomal transport via proton symport,h_c + hcys__L_c  <=> h_x + hcys__L_x ,,-999999,999999,0,S_Transport__Peroxisomal
HDCAt,Hexadecanoate  n C160  transport in via uniport,hdca_e  -> hdca_c ,,0,999999,0,S_Transport__Extracellular
HDCEAt,Hexadecenoate  n C161  transport in via uniport,hdcea_e  -> hdcea_c ,,0,999999,0,S_Transport__Extracellular
FECOSTAT_SC,Acyl CoAfecosterol acyltransferase  yeast specific,0.01 fecost_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.02 pmtcoa_c + 0.27 odecoa_c + 0.03 stcoa_c + 0.015 tdcoa_c  -> coa_c + 0.01 fecostest_SC_c ,YCR048W,0,999999,0,S_Sterol_Metabolism
HEMEOMOm,Heme O monooxygenase  mitochondrial,hemeO_m + o2_m + nadh_m  -> h2o_m + hemeA_m + nad_m ,YDR376W and YER141W and YPL252C,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
HEMEOSm,Heme O synthase  mitochondrial,frdp_m + h2o_m + pheme_m  -> hemeO_m + ppi_m ,YPL172C,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
HETZK,Hydroxyethylthiazole kinase,4mhetz_c + atp_c  -> 4mpetz_c + adp_c + h_c ,YPL214C,0,999999,0,S_Thiamine_Metabolism
FECOSTESTH_SC,Fecosterol ester hydrolase  yeast specific,0.01 fecostest_SC_c + h2o_c  -> 0.01 fecost_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c ,YKL140W or YLL012W,0,999999,0,S_Sterol_Metabolism
HEX1,Hexokinase (D-glucose:ATP),atp_c + glc__D_c  -> adp_c + g6p_c + h_c ,YFR053C or YGL253W or YCL040W,0,999999,0,S_GlycolysisGluconeogenesis
HEX4,Hexokinase (D-mannose:ATP),atp_c + man_c  -> adp_c + h_c + man6p_c ,YFR053C or YGL253W,0,999999,0,S_GlycolysisGluconeogenesis
FECOSTESTH_SCe,Fecosterol ester hydrolase  yeast specific  extracellular,0.01 fecostest_SC_e + h2o_e  -> 0.01 fecost_e + h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e ,YLR020C,0,999999,0,S_Sterol_Metabolism
HEX7,Hexokinase (D-fructose:ATP),atp_c + fru_c  -> adp_c + f6p_c + h_c ,YFR053C or YGL253W,0,999999,0,S_GlycolysisGluconeogenesis
HEXCCOAtx,Fatty acid intracellular transport,hexccoa_c  <=> hexccoa_x ,,-999999,999999,0,S_Transport__Peroxisomal
HEXDPtm,All trans hexaprenyl diphosphate transport  mitochondrial,hexdp_c  <=> hexdp_m ,,-999999,999999,0,S_Transport__Mitochondrial
ILEtmi,Isoleucine transport from mitochondria to cytosol,ile__L_m  -> ile__L_c ,,0,999999,0,S_Transport__Mitochondrial
FECOSTt,Fecosterol reversible transport,fecost_e  <=> fecost_c ,YOR011W or YIL013C,-999999,999999,0,S_Transport__Extracellular
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,hgentis_c + o2_c  -> 4mlacac_c + h_c ,,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
HICITDm,Homoisocitrate dehydrogenase,hicit_m + nad_m  <=> h_m + nadh_m + oxag_m ,YIL094C,-999999,999999,0,S_Threonine_and_Lysine_Metabolism
FEtm,Iron  II  transport,fe2_m  -> fe2_c ,,0,999999,0,S_Transport__Mitochondrial
IMPC,IMP cyclohydrolase,h2o_c + imp_c  <=> fprica_c ,YLR028C or YMR120C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
FKYNH,N Formyl L kynurenine amidohydrolase,Lfmkynr_c + h2o_c  -> Lkynr_c + for_c + h_c ,YJL060W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c  -> h_c + nadh_c + xmp_c ,YHR216W or YLR432W or YAR075W or YML056C or YAR073W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
IND3ACtm,Indole 3 acetate mitochondrial transport via diffusion,ind3ac_c  <=> ind3ac_m ,,-999999,999999,0,S_Transport__Mitochondrial
HISTD,Histidinol dehydrogenase,h2o_c + histd_c + 2 nad_c  -> 3 h_c + his__L_c + 2 nadh_c ,YCL030C,0,999999,0,S_Histidine_Metabolism
FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,10fthf_m + mettrna_m  -> fmettrna_m + h_m + thf_m ,YBL013W,0,999999,0,S_tRNA_charging
HISTP,Histidinol-phosphatase,h2o_c + hisp_c  -> histd_c + pi_c ,YFR025C,0,999999,0,S_Histidine_Metabolism
HISTRS,Histidyl-tRNA synthetase,atp_c + his__L_c + trnahis_c  -> amp_c + histrna_c + ppi_c ,YPR033C,0,999999,0,S_tRNA_charging
IND3ETHt,Tryptophol transport  extracellular,ind3eth_c  <=> ind3eth_e ,,-999999,999999,0,S_Transport__Extracellular
IND3ETHtm,Tryptophol transport  mitochondrial ,ind3eth_c  <=> ind3eth_m ,,-999999,999999,0,S_Transport__Mitochondrial
INDPYRD,Indole 3 pyruvate decarboxylase,h_c + indpyr_c  <=> co2_c + id3acald_c ,YLR134W or YLR044C or YGR087C or YDR380W,-999999,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
HISTRSm,Histidyl tRNA synthetase  mitochondrial,atp_m + his__L_m + trnahis_m  -> amp_m + histrna_m + ppi_m ,YPR033C,0,999999,0,S_tRNA_charging
INSK,Insosine kinase,atp_c + ins_c  -> adp_c + h_c + imp_c ,,0,999999,0,S_Nucleotide_Salvage_Pathway
FMNAT,FMN adenylyltransferase,atp_c + fmn_c + h_c  -> fad_c + ppi_c ,YDL045C,0,999999,0,S_Riboflavin_Metabolism
HISt2m,Histidine mitochondrial transport via proton symport,h_m + his__L_m  <=> h_c + his__L_c ,,-999999,999999,0,S_Transport__Mitochondrial
HISt2r,L histidine reversible transport via proton symport,h_e + his__L_e  <=> h_c + his__L_c ,YGR191W or YKR039W or YCL025C or YBR069C,-999999,999999,0,S_Transport__Extracellular
HISt6,L histidine transport in via proton antiport  vacuolar ,h_v + his__L_c  -> h_c + his__L_v ,YBR293W or YMR088C or YCL069W,0,999999,0,S_Transport__Vacuolar
HKYNH,3 Hydroxy L kynurenine hydrolase,h2o_c + hLkynr_c  -> 3hanthrn_c + ala__L_c ,YLR231C,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
HMBS,Hydroxymethylbilane synthase,h2o_c + 4 ppbng_c  -> hmbil_c + 4 nh4_c ,YDL205C,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
INSTt2,Inositol transport in via proton symport,h_e + inost_e  -> h_c + inost_c ,YDR497C or YOL103W,0,999999,0,S_Transport__Extracellular
INSt2,Inosine transport in via proton symport,h_e + ins_e  -> h_c + ins_c ,,0,999999,0,S_Transport__Extracellular
IPC124PLC_SC,Inositol phosphorylceramide  ceramide 1  24C  phospholipase C,h2o_c + 0.01 ipc124_SC_c  -> cer1_24_c + h_c + mi1p__D_c ,YER019W,0,999999,0,S_Sphingolipid_Metabolism
IPC126PLC_SC,Inositol phosphorylceramide  ceramide 1  26C  phospholipase C,h2o_c + 0.01 ipc126_SC_c  -> cer1_26_c + h_c + mi1p__D_c ,YER019W,0,999999,0,S_Sphingolipid_Metabolism
IPC224PLC_SC,Inositol phosphorylceramide  ceramide 2  24C  phospholipase C,h2o_c + 0.01 ipc224_SC_c  -> cer2_24_c + h_c + mi1p__D_c ,YER019W,0,999999,0,S_Sphingolipid_Metabolism
IPC226PLC_SC,Inositol phosphorylceramide  ceramide 2  26C  phospholipase C,h2o_c + 0.01 ipc226_SC_c  -> cer2_26_c + h_c + mi1p__D_c ,YER019W,0,999999,0,S_Sphingolipid_Metabolism
HMGCOAR,Hydroxymethylglutaryl CoA reductase,coa_c + mev__R_c + 2 nadp_c  <=> 2 h_c + hmgcoa_c + 2 nadph_c ,YLR450W or YML075C,-999999,999999,0,S_Sterol_Metabolism
HMGCOAS,Hydroxymethylglutaryl CoA synthase,coa_c + h_c + hmgcoa_c  <=> aacoa_c + accoa_c + h2o_c ,YML126C,-999999,999999,0,S_Sterol_Metabolism
HMGCOASm,Hydroxymethylglutaryl CoA synthase  mitochondrial,coa_m + h_m + hmgcoa_m  <=> aacoa_m + accoa_m + h2o_m ,YML126C,-999999,999999,0,S_Sterol_Metabolism
IPC324PLC_SC,Inositol phosphorylceramide  ceramide 3  24C  phospholipase C,h2o_c + 0.01 ipc324_SC_c  -> cer3_24_c + h_c + mi1p__D_c ,YER019W,0,999999,0,S_Sphingolipid_Metabolism
IPC326PLC_SC,Inositol phosphorylceramide  ceramide 3  26C  phospholipase C,h2o_c + 0.01 ipc326_SC_c  -> cer3_26_c + h_c + mi1p__D_c ,YER019W,0,999999,0,S_Sphingolipid_Metabolism
HMGCOAtm,Hydroxymethylglutaryl CoA reversible mitochondrial transport,hmgcoa_c  <=> hmgcoa_m ,,-999999,999999,0,S_Transport__Mitochondrial
FMNATm,FMN adenylyltransferase,atp_m + fmn_m + h_m  -> fad_m + ppi_m ,,0,999999,0,S_Riboflavin_Metabolism
HMPK1,Hydroxymethylpyrimidine kinase (ATP),4ahmmp_c + atp_c  -> adp_c + 4ampm_c + h_c ,YOL055C or YPL258C or YPR121W,0,999999,0,S_Thiamine_Metabolism
HPPKm,2 amino 4 hydroxy 6 hydroxymethyldihydropteridine diphosphokinase  mitochondrial,2ahhmp_m + atp_m  -> 2ahhmd_m + amp_m + h_m ,YNL256W,0,999999,0,S_Folate_Metabolism
HPROa,L hydroxyproline reductase  NAD ,1p3h5c_c + 2 h_c + nadh_c  -> 4hpro_LT_c + nad_c ,YER023W,0,999999,0,S_Arginine_and_Proline_Metabolism
IPCS124_SC,Inositol phosphorylceramide synthase  ceramide 1  24C   yeast specific,cer1_24_c + 0.01 ptd1ino_SC_c  -> 0.01 12dgr_SC_c + 0.01 ipc124_SC_c ,YKL004W,0,999999,0,S_Sphingolipid_Metabolism
IPCS126_SC,Inositol phosphorylceramide synthase  ceramide 1  26C   yeast specific,cer1_26_c + 0.01 ptd1ino_SC_c  -> 0.01 12dgr_SC_c + 0.01 ipc126_SC_c ,YKL004W,0,999999,0,S_Sphingolipid_Metabolism
IPCS224_SC,Inositol phosphorylceramide synthase  ceramide 2  24C   yeast specific,cer2_24_c + 0.01 ptd1ino_SC_c  -> 0.01 12dgr_SC_c + 0.01 ipc224_SC_c ,YKL004W,0,999999,0,S_Sphingolipid_Metabolism
IPCS226_SC,Inositol phosphoryceramide synthase  ceramide 2  26C   yeast specific,cer2_26_c + 0.01 ptd1ino_SC_c  -> 0.01 12dgr_SC_c + 0.01 ipc226_SC_c ,YKL004W,0,999999,0,S_Sphingolipid_Metabolism
HPROb,L hydroxyproline reductase  NADP ,1p3h5c_c + 2 h_c + nadph_c  -> 4hpro_LT_c + nadp_c ,YER023W,0,999999,0,S_Arginine_and_Proline_Metabolism
HPROxm,L hydroxyproline dehydrogenase  NAD   mitochondrial,4hpro_LT_m + nad_m  -> 1p3h5c_m + 2 h_m + nadh_m ,YHR037W,0,999999,0,S_Arginine_and_Proline_Metabolism
IPCS324_SC,Inositol phosphorylceramide synthase  ceramide 3  24C   yeast specific,cer3_24_c + 0.01 ptd1ino_SC_c  -> 0.01 12dgr_SC_c + 0.01 ipc324_SC_c ,YKL004W,0,999999,0,S_Sphingolipid_Metabolism
IPCS326_SC,Inositol phosphorylceramide synthase  ceramide 3  26C   yeast specific,cer3_26_c + 0.01 ptd1ino_SC_c  -> 0.01 12dgr_SC_c + 0.01 ipc326_SC_c ,YKL004W,0,999999,0,S_Sphingolipid_Metabolism
HPROym,L hydroxyproline dehydrogenase  NADP   mitochondrial,4hpro_LT_m + nadp_m  -> 1p3h5c_m + 2 h_m + nadph_m ,YHR037W,0,999999,0,S_Arginine_and_Proline_Metabolism
FMNRx,FMN reductase,fmn_c + h_c + nadh_c  -> fmnh2_c + nad_c ,YLR011W,0,999999,0,S_Riboflavin_Metabolism
HSDxi,Homoserine dehydrogenase  NADH   irreversible,aspsa_c + h_c + nadh_c  -> hom__L_c + nad_c ,YJR139C,0,999999,0,S_Glycine_and_Serine_Metabolism
IPDDI,Isopentenyl-diphosphate D-isomerase,ipdp_c  <=> dmpp_c ,YPL117C,-999999,999999,0,S_Sterol_Metabolism
FMNRx2,FMN reductase,fmn_c + h_c + nadph_c  -> fmnh2_c + nadp_c ,YLR011W,0,999999,0,S_Riboflavin_Metabolism
IPDPtm,Isopentenyl diphosphate transport  mitochondrial,ipdp_c  <=> ipdp_m ,,-999999,999999,0,S_Transport__Mitochondrial
IPMD,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c  -> 3c4mop_c + h_c + nadh_c ,YCL018W,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
IPPMIa,3-isopropylmalate dehydratase,3c2hmp_c  <=> 2ippm_c + h2o_c ,YGL009C,-999999,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
IPPMIb,2-isopropylmalate hydratase,2ippm_c + h2o_c  <=> 3c3hmp_c ,YGL009C,-999999,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
IPPS,2-isopropylmalate synthase,3mob_c + accoa_c + h2o_c  -> 3c3hmp_c + coa_c + h_c ,YOR108W or YNL104C,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
HSDy,Homoserine dehydrogenase (NADPH),hom__L_c + nadp_c  <=> aspsa_c + h_c + nadph_c ,YJR139C,-999999,0,0,S_Glycine_and_Serine_Metabolism
HSERTA,Homoserine O trans acetylase,accoa_c + hom__L_c  <=> achms_c + coa_c ,YNL277W,-999999,999999,0,S_Methionine_Metabolism
HSK,Homoserine kinase,atp_c + hom__L_c  -> adp_c + h_c + phom_c ,YHR025W,0,999999,0,S_Glycine_and_Serine_Metabolism
HSTPT,Histidinol-phosphate transaminase,glu__L_c + imacp_c  -> akg_c + hisp_c ,YIL116W,0,999999,0,S_Histidine_Metabolism
HXANt2r,Hypoxanthine reversible transport via proton symport,h_e + hxan_e  <=> h_c + hxan_c ,,-999999,999999,0,S_Transport__Extracellular
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),hxan_c + prpp_c  -> imp_c + ppi_c ,YDR399W,0,999999,0,S_Nucleotide_Salvage_Pathway
HYPOE,Hypothetical enyme,h2o_c + pyam5p_c  -> pydam_c + pi_c ,,0,999999,0,S_Pyridoxine_Metabolism
IAMACt,Isoamyl acetate transport  extracellular ,iamac_c  -> iamac_e ,,0,999999,0,S_Transport__Extracellular
IAMOHt,Isoamyl alcohol transport  extracellular ,iamoh_c  <=> iamoh_e ,,-999999,999999,0,S_Transport__Extracellular
IAMOHtm,Isoamyl alcohol transport  mitochondrial ,iamoh_c  <=> iamoh_m ,,-999999,999999,0,S_Transport__Mitochondrial
IBUTACt,Isobutyl acetate transport  extracellular ,ibutac_c  -> ibutac_e ,,0,999999,0,S_Transport__Extracellular
IBUTOHt,Isobutyl alcohol transport  extracellular ,ibutoh_c  <=> ibutoh_e ,,-999999,999999,0,S_Transport__Extracellular
IBUTOHtm,Isobutyl alcohol transport  mitochondrial ,ibutoh_c  <=> ibutoh_m ,,-999999,999999,0,S_Transport__Mitochondrial
ICDHxm,Isocitrate dehydrogenase  NAD ,icit_m + nad_m  -> akg_m + co2_m + nadh_m ,YNL037C and YOR136W,0,999999,0,S_Citric_Acid_Cycle
IPPSm,2 isopropylmalate synthase  mitochondrial,3mob_m + accoa_m + h2o_m  -> 3c3hmp_m + coa_m + h_m ,YNL104C,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
ITCOALm,Itaconate  CoA ligase  ADP forming   mitochondrial,atp_m + coa_m + itacon_m  <=> adp_m + itaccoa_m + pi_m ,YGR244C and YOR142W,-999999,999999,0,S_Citric_Acid_Cycle
KARA1im,Acetohydroxy acid isomeroreductase  mitochondrial,alac__S_m + h_m + nadph_m  -> 23dhmb_m + nadp_m ,YLR355C,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
KARA2im,Ketol acid reductoisomerase  2 Aceto 2 hydroxybutanoate   mitochondrial,2ahbut_m + h_m + nadph_m  -> 23dhmp_m + nadp_m ,YLR355C,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
KYN,Kynureninase,Lkynr_c + h2o_c  -> ala__L_c + anth_c + h_c ,YLR231C,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
KYN3OX,Kynurenine 3 monooxygenase,Lkynr_c + h_c + nadph_c + o2_c  -> h2o_c + hLkynr_c + nadp_c ,YBL098W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
Kt2r,Potassium reversible transport  via proton symport,h_e + k_e  <=> h_c + k_c ,,-999999,999999,0,S_Transport__Extracellular
LALDO3,L-Lactaldehyde:NADP+ 1-oxidoreductase,h_c + mthgxl_c + nadph_c  -> lald__L_c + nadp_c ,YOL151W or YHR104W,0,999999,0,S_Alternate_Carbon_Metabolism
LANOSTAT_SC,Acyl CoAlanosterol acyltransferase  yeast specific,0.655 hdcoa_c + 0.01 lanost_c + 0.01 hexccoa_c + 0.02 pmtcoa_c + 0.27 odecoa_c + 0.03 stcoa_c + 0.015 tdcoa_c  -> coa_c + 0.01 lanostest_SC_c ,YCR048W,0,999999,0,S_Sterol_Metabolism
ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c  -> akg_c + co2_c + nadph_c ,YLR174W,0,999999,0,S_Citric_Acid_Cycle
ICDHym,Isocitrate dehydrogenase  NADP ,icit_m + nadp_m  -> akg_m + co2_m + nadph_m ,YDL066W,0,999999,0,S_Citric_Acid_Cycle
ICDHyp,Isocitrate dehydrogenase  NADP ,icit_x + nadp_x  -> akg_x + co2_x + nadph_x ,YNL009W,0,999999,0,S_Citric_Acid_Cycle
ICL,Isocitrate lyase,icit_c  -> glx_c + succ_c ,YER065C,0,999999,0,S_Anaplerotic_reactions
LANOSTESTH_SC,Lanosterol ester hydrolase  yeast specific,h2o_c + 0.01 lanostest_SC_c  -> h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 lanost_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c ,YKL140W or YLL012W,0,999999,0,S_Sterol_Metabolism
FOLD3m,Dihydropteroate synthase  mitochondrial,2ahhmd_m + 4abz_m  -> dhpt_m + ppi_m ,YNL256W,0,999999,0,S_Folate_Metabolism
LANOSTESTH_SCe,Lanosterol ester hydrolase  yeast specific  extracellular ,h2o_e + 0.01 lanostest_SC_e  -> h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 lanost_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e ,YLR020C,0,999999,0,S_Sterol_Metabolism
LANOSTt,Lanosterol reversible transport,lanost_e  <=> lanost_c ,YOR011W or YIL013C,-999999,999999,0,S_Transport__Extracellular
LCADi,Lactaldehyde dehydrogenase,h2o_c + lald__L_c + nad_c  -> 2 h_c + lac__L_c + nadh_c ,,0,999999,0,S_Alternate_Carbon_Metabolism
